uniqueFollowCount,totalUnFollowCount,foursquareId,uniqueUnFollowCount,key,date,totalFollowCount
15,0,3904291,0,2010-12-19 | 3904291,2010-12-19T00:00:00,15
43,0,3907781,0,2010-12-19 | 3907781,2010-12-19T00:00:00,64
27,0,3908889,0,2010-12-19 | 3908889,2010-12-19T00:00:00,36
20,0,3964060,0,2010-12-19 | 3964060,2010-12-19T00:00:00,20
4,0,3965355,0,2010-12-19 | 3965355,2010-12-19T00:00:00,4
17,0,3968757,0,2010-12-19 | 3968757,2010-12-19T00:00:00,20
29,0,3969273,0,2010-12-19 | 3969273,2010-12-19T00:00:00,40
20,0,3982252,0,2010-12-19 | 3982252,2010-12-19T00:00:00,22
9,0,398871,0,2010-12-19 | 398871,2010-12-19T00:00:00,11
16,0,4049899,0,2010-12-19 | 4049899,2010-12-19T00:00:00,16
37,0,4053216,0,2010-12-19 | 4053216,2010-12-19T00:00:00,46
23,0,4082309,0,2010-12-19 | 4082309,2010-12-19T00:00:00,25
45,0,4085980,0,2010-12-19 | 4085980,2010-12-19T00:00:00,59
39,0,4086675,0,2010-12-19 | 4086675,2010-12-19T00:00:00,50
13,0,4104113,0,2010-12-19 | 4104113,2010-12-19T00:00:00,13
28,0,4106970,0,2010-12-19 | 4106970,2010-12-19T00:00:00,32
10,0,4108596,0,2010-12-19 | 4108596,2010-12-19T00:00:00,10
17,0,4108698,0,2010-12-19 | 4108698,2010-12-19T00:00:00,17
30,0,4118719,0,2010-12-19 | 4118719,2010-12-19T00:00:00,40
16,0,4121273,0,2010-12-19 | 4121273,2010-12-19T00:00:00,18
12,0,4128086,0,2010-12-19 | 4128086,2010-12-19T00:00:00,12
44,0,4215070,0,2010-12-19 | 4215070,2010-12-19T00:00:00,51
34,0,4229707,0,2010-12-19 | 4229707,2010-12-19T00:00:00,46
50,0,4236123,0,2010-12-19 | 4236123,2010-12-19T00:00:00,64
16,0,4237709,0,2010-12-19 | 4237709,2010-12-19T00:00:00,16
50,0,4250163,0,2010-12-19 | 4250163,2010-12-19T00:00:00,64
