id,name,category,action,label,totalEvents,uniqueEvents,eventValue
3119396,Queensland,brands,unfollowed,3119396,2,2,0
3262181,Philadelphia Magazine,brands,unfollowed,3262181,2,2,0
3302010,timescolonist,brands,unfollowed,3302010,2,2,0
3343338,Racked,brands,unfollowed,3343338,2,2,0
3382567,Kennesaw State University,brands,unfollowed,3382567,2,2,0
3394354,Purdue University,brands,unfollowed,3394354,2,2,0
3907781,Sony,brands,unfollowed,3907781,2,2,0
4053216,Mommy Shorts,brands,unfollowed,4053216,2,2,0
4106970,Florida State,brands,unfollowed,4106970,2,2,0
4118719,1. FC K��ln,brands,unfollowed,4118719,2,2,0
4537678,The University of San Francisco,brands,unfollowed,4537678,2,2,0
4557525,Lettuce,brands,unfollowed,4557525,2,2,0
4827120,CTnow.com,brands,unfollowed,4827120,2,2,0
4982794,Texas A&M University-Corpus Christi,brands,unfollowed,4982794,2,2,0
5003365,VisitNC,brands,unfollowed,5003365,2,2,0
508885,MCFC,brands,unfollowed,508885,2,2,0
5273346,Times Square NYC,brands,unfollowed,5273346,2,2,0
572758,National Post,brands,unfollowed,572758,2,2,0
611736,Marquette U.,brands,unfollowed,611736,2,2,0
887198,SyracuseU,brands,unfollowed,887198,2,2,0
989827,The Wall Street Journal,brands,unfollowed,989827,2,2,0
1066667,Utrechts Uitburo,brands,unfollowed,1066667,1,1,0
1067256,Edmonton J.,brands,unfollowed,1067256,1,1,0
1082106,GQ,brands,unfollowed,1082106,1,1,0
1191479,University of Louisville O.,brands,unfollowed,1191479,1,1,0
1192925,Cornell U.,brands,unfollowed,1192925,1,1,0
1237754,Downtown Boulder,brands,unfollowed,1237754,1,1,0
1276998,VISIT M.,brands,unfollowed,1276998,1,1,0
1286763,Tanteo T.,brands,unfollowed,1286763,1,1,0
13630,Heavy Table,brands,unfollowed,13630,1,1,0
1364936,Colorado College,brands,unfollowed,1364936,1,1,0
1372183,Colorado,brands,unfollowed,1372183,1,1,0
1372689,Metropolitan Museum of Art,brands,unfollowed,1372689,1,1,0
1387652,Chevrolet,brands,unfollowed,1387652,1,1,0
1408406,VisitBucksPA,brands,unfollowed,1408406,1,1,0
1473703,Supermodelme,brands,unfollowed,1473703,1,1,0
147983,Harvard U.,brands,unfollowed,147983,1,1,0
1484786,Hofstra U.,brands,unfollowed,1484786,1,1,0
149690,BrooklynMuseum,brands,unfollowed,149690,1,1,0
1514388,C-SPAN,brands,unfollowed,1514388,1,1,0
1593133,Oakland Cemetery,brands,unfollowed,1593133,1,1,0
1596715,Bing,brands,unfollowed,1596715,1,1,0
1616888,Helmut Lang,brands,unfollowed,1616888,1,1,0
1618690,Arenacross,brands,unfollowed,1618690,1,1,0
1666563,VisitPhilly,brands,unfollowed,1666563,1,1,0
1675213,Boston.com,brands,unfollowed,1675213,1,1,0
